Algorithm	Subject	Run	PreparationTime	SelectionTime	FaultDetectionLoss	TestSuiteReduction	FirstFaultyTest
ART-D	chart_v1	1	0	31.14745	0	0	11
ART-D	chart_v1	2	0	32.19958	0	0	78
ART-D	chart_v1	3	0	32.121408	0	0	72
ART-D	chart_v1	4	0	26.676365	0	0	301
ART-D	chart_v1	5	0	25.89043	0	0	304
ART-D	chart_v1	6	0	23.922993	0	0.0056338028	8
ART-D	chart_v1	7	0	25.614951	0	0	122
ART-D	chart_v1	8	0	23.789279	0	0	15
ART-D	chart_v1	9	0	25.666469	0	0.0028169014	336
ART-D	chart_v1	10	0	28.960644	0	0	181
ART-D	chart_v1	11	0	28.978732	0	0	285
ART-D	chart_v1	12	0	33.031153	0	0	33
ART-D	chart_v1	13	0	26.260558	0	0.0028169014	147
ART-D	chart_v1	14	0	25.181546	0	0	79
ART-D	chart_v1	15	0	28.615709	0	0.0028169014	43
ART-D	chart_v1	16	0	25.266464	0	0	287
ART-D	chart_v1	17	0	24.641832	0	0.0056338028	298
ART-D	chart_v1	18	0	30.254695	0	0	231
ART-D	chart_v1	19	0	24.993649	0	0	127
ART-D	chart_v1	20	0	29.51153	0	0.0028169014	49
ART-D	chart_v1	21	0	28.881806	0	0.0084507042	135
ART-D	chart_v1	22	0	29.833521	0	0	84
ART-D	chart_v1	23	0	27.95963	0	0	348
ART-D	chart_v1	24	0	26.026688	0	0	253
ART-D	chart_v1	25	0	31.133846	0	0.0028169014	53
ART-D	chart_v1	26	0	30.510242	0	0	138
ART-D	chart_v1	27	0	30.803228	0	0	165
ART-D	chart_v1	28	0	28.225424	0	0	242
ART-D	chart_v1	29	0	25.111708	0	0	208
ART-D	chart_v1	30	0	29.015719	0	0	165
ART-D	chart_v1	31	0	30.461534	0	0.0084507042	320
ART-D	chart_v1	32	0	29.450966	0	0.0028169014	44
ART-D	chart_v1	33	0	28.443919	0	0	31
ART-D	chart_v1	34	0	28.703221	0	0.0084507042	100
ART-D	chart_v1	35	0	32.005409	0	0	274
ART-D	chart_v1	36	0	28.043054	0	0	84
ART-D	chart_v1	37	0	28.873843	0	0	232
ART-D	chart_v1	38	0	29.758358	0	0.0056338028	113
ART-D	chart_v1	39	0	30.137969	0	0	156
ART-D	chart_v1	40	0	27.005875	0	0	144
ART-D	chart_v1	41	0	31.778934	0	0	271
ART-D	chart_v1	42	0	28.128301	0	0	313
ART-D	chart_v1	43	0	27.45432	0	0.0028169014	47
ART-D	chart_v1	44	0	27.880083	0	0	115
ART-D	chart_v1	45	0	28.369357	0	0	41
ART-D	chart_v1	46	0	24.41156	0	0.0028169014	288
ART-D	chart_v1	47	0	26.907479	0	0	124
ART-D	chart_v1	48	0	24.825604	0	0.0028169014	92
ART-D	chart_v1	49	0	29.376878	0	0	72
ART-D	chart_v1	50	0	31.030771	0	0	8
ART-D	closure_v1	1	0	32.423233	0	0.0092165899	7
ART-D	closure_v1	2	0	38.1876	0	0	68
ART-D	closure_v1	3	0	35.457572	0	0.0092165899	49
ART-D	closure_v1	4	0	39.967531	0	0	57
ART-D	closure_v1	5	0	36.751396	0	0	41
ART-D	closure_v1	6	0	35.833979	0	0	131
ART-D	closure_v1	7	0	30.701963	0	0	3
ART-D	closure_v1	8	0	35.967503	0	0.0046082949	145
ART-D	closure_v1	9	0	35.961107	0	0	87
ART-D	closure_v1	10	0	30.896861	0	0	146
ART-D	closure_v1	11	0	30.979246	0	0.0138248848	31
ART-D	closure_v1	12	0	31.428315	0	0	69
ART-D	closure_v1	13	0	36.414988	0	0	125
ART-D	closure_v1	14	0	35.329432	0	0.0230414747	84
ART-D	closure_v1	15	0	29.343703	0	0.0184331797	21
ART-D	closure_v1	16	0	37.189525	0	0.0046082949	41
ART-D	closure_v1	17	0	30.885263	0	0.0092165899	41
ART-D	closure_v1	18	0	42.35953	0	0	27
ART-D	closure_v1	19	0	31.780922	0	0	72
ART-D	closure_v1	20	0	37.18574	0	0	32
ART-D	closure_v1	21	0	34.268373	0	0.0138248848	23
ART-D	closure_v1	22	0	24.742639	0	0.0046082949	56
ART-D	closure_v1	23	0	30.719937	0	0	2
ART-D	closure_v1	24	0	29.536972	0	0	76
ART-D	closure_v1	25	0	33.399846	0	0	58
ART-D	closure_v1	26	0	34.620859	0	0	29
ART-D	closure_v1	27	0	30.530022	0	0.0138248848	14
ART-D	closure_v1	28	0	35.486801	0	0.0230414747	140
ART-D	closure_v1	29	0	31.801504	0	0.0184331797	29
ART-D	closure_v1	30	0	33.190091	0	0	93
ART-D	closure_v1	31	0	34.760742	0	0.0046082949	62
ART-D	closure_v1	32	0	37.564348	0	0	57
ART-D	closure_v1	33	0	35.392541	0	0	8
ART-D	closure_v1	34	0	32.999484	0	0	5
ART-D	closure_v1	35	0	32.916492	0	0.0046082949	55
ART-D	closure_v1	36	0	30.30386	0	0.0230414747	43
ART-D	closure_v1	37	0	32.165198	0	0	93
ART-D	closure_v1	38	0	33.466929	0	0	25
ART-D	closure_v1	39	0	35.984082	0	0.0092165899	110
ART-D	closure_v1	40	0	34.392797	0	0.0046082949	6
ART-D	closure_v1	41	0	29.066993	0	0.0092165899	62
ART-D	closure_v1	42	0	36.732908	0	0.0092165899	7
ART-D	closure_v1	43	0	35.723395	0	0.0046082949	19
ART-D	closure_v1	44	0	36.062653	0	0.0184331797	5
ART-D	closure_v1	45	0	32.228805	0	0.0046082949	67
ART-D	closure_v1	46	0	27.072948	0	0.0368663594	96
ART-D	closure_v1	47	0	29.376775	0	0.0046082949	23
ART-D	closure_v1	48	0	31.60685	0	0	25
ART-D	closure_v1	49	0	28.708884	0	0.0046082949	66
ART-D	closure_v1	50	0	28.911788	0	0	85
ART-D	lang_v1	1	0	0.448692	0	0.0272727273	12
ART-D	lang_v1	2	0	0.500043	0	0	76
ART-D	lang_v1	3	0	0.524446	0	0	3
ART-D	lang_v1	4	0	0.446236	0	0	12
ART-D	lang_v1	5	0	0.470234	0	0	85
ART-D	lang_v1	6	0	0.522107	0	0	29
ART-D	lang_v1	7	0	0.407292	0	0	64
ART-D	lang_v1	8	0	0.404414	0	0	3
ART-D	lang_v1	9	0	0.414931	0	0	74
ART-D	lang_v1	10	0	0.451746	0	0	50
ART-D	lang_v1	11	0	0.355922	0	0.0090909091	67
ART-D	lang_v1	12	0	0.471165	0	0	89
ART-D	lang_v1	13	0	0.357355	0	0.0090909091	69
ART-D	lang_v1	14	0	0.378372	0	0.0181818182	72
ART-D	lang_v1	15	0	0.382303	0	0	91
ART-D	lang_v1	16	0	0.491516	0	0	90
ART-D	lang_v1	17	0	0.404451	0	0	19
ART-D	lang_v1	18	0	0.448601	0	0.0090909091	43
ART-D	lang_v1	19	0	0.41146	0	0	23
ART-D	lang_v1	20	0	0.42686	0	0	84
ART-D	lang_v1	21	0	0.415996	0	0	8
ART-D	lang_v1	22	0	0.436278	0	0.0090909091	74
ART-D	lang_v1	23	0	0.458021	0	0.0181818182	21
