Algorithm	Subject	Run	PreparationTime	SelectionTime	FaultDetectionLoss	TestSuiteReduction	FirstFaultyTest
ART-D	chart_v1	1	0	167.230795	0	0	133
ART-D	chart_v1	2	0	130.472818	0	0	163
ART-D	chart_v1	3	0	155.005792	0	0	320
ART-D	chart_v1	4	0	150.84251	0	0	10
ART-D	chart_v1	5	0	128.510847	0	0	123
ART-D	chart_v1	6	0	138.437918	0	0	312
ART-D	chart_v1	7	0	168.63039	0	0	213
ART-D	chart_v1	8	0	182.89778	0	0	133
ART-D	chart_v1	9	0	149.343039	0	0	16
ART-D	chart_v1	10	0	142.442955	0	0	316
ART-D	chart_v1	11	0	148.935238	0	0	309
ART-D	chart_v1	12	0	139.380003	0	0	96
ART-D	chart_v1	13	0	122.730541	0	0	342
ART-D	chart_v1	14	0	164.524877	0	0	27
ART-D	chart_v1	15	0	151.749276	0	0	136
ART-D	chart_v1	16	0	144.588356	0	0	71
ART-D	chart_v1	17	0	120.095338	0	0	100
ART-D	chart_v1	18	0	178.1479	0	0	76
ART-D	chart_v1	19	0	173.036217	0	0.0028169014	62
ART-D	chart_v1	20	0	150.569515	0	0	336
ART-D	chart_v1	21	0	155.381705	0	0	333
ART-D	chart_v1	22	0	151.989431	0	0	313
ART-D	chart_v1	23	0	132.917645	0	0	122
ART-D	chart_v1	24	0	156.813542	0	0	11
ART-D	chart_v1	25	0	147.120877	0	0	239
ART-D	chart_v1	26	0	137.060044	0	0	332
ART-D	chart_v1	27	0	160.821343	0	0	230
ART-D	chart_v1	28	0	173.808379	0	0	137
ART-D	chart_v1	29	0	126.013551	0	0	132
ART-D	chart_v1	30	0	154.861039	0	0	159
ART-D	chart_v1	31	0	136.020812	0	0	247
ART-D	chart_v1	32	0	158.087078	0	0	274
ART-D	chart_v1	33	0	148.915885	0	0	53
ART-D	chart_v1	34	0	157.034223	0	0	16
ART-D	chart_v1	35	0	160.219562	0	0.0028169014	119
ART-D	chart_v1	36	0	152.429127	0	0	120
ART-D	chart_v1	37	0	164.906874	0	0	238
ART-D	chart_v1	38	0	153.444695	0	0	123
ART-D	chart_v1	39	0	136.132274	0	0	159
ART-D	chart_v1	40	0	138.626841	0	0.0028169014	248
ART-D	chart_v1	41	0	134.297397	0	0	123
ART-D	chart_v1	42	0	136.964694	0	0	348
ART-D	chart_v1	43	0	157.431304	0	0	334
ART-D	chart_v1	44	0	140.505395	0	0	121
ART-D	chart_v1	45	0	154.624045	0	0	231
ART-D	chart_v1	46	0	170.48152	0	0	171
ART-D	chart_v1	47	0	137.805073	0	0.0028169014	178
ART-D	chart_v1	48	0	178.552219	0	0	164
ART-D	chart_v1	49	0	133.005868	0	0	195
ART-D	chart_v1	50	0	145.619798	0	0	181
ART-D	closure_v1	1	0	247.438763	0	0.0092165899	58
ART-D	closure_v1	2	0	203.479102	0	0	27
ART-D	closure_v1	3	0	230.682625	0	0	13
ART-D	closure_v1	4	0	206.046608	0	0	18
ART-D	closure_v1	5	0	177.87893	0	0	89
ART-D	closure_v1	6	0	249.276429	0	0.0046082949	65
ART-D	closure_v1	7	0	260.043669	0	0	92
ART-D	closure_v1	8	0	189.672775	0	0	11
ART-D	closure_v1	9	0	191.969221	0	0	98
ART-D	closure_v1	10	0	206.329514	0	0	92
ART-D	closure_v1	11	0	227.116161	0	0.0092165899	87
ART-D	closure_v1	12	0	178.344949	0	0	123
ART-D	closure_v1	13	0	196.069776	0	0.0046082949	9
ART-D	closure_v1	14	0	239.549463	0	0	100
ART-D	closure_v1	15	0	206.29161	0	0	15
ART-D	closure_v1	16	0	222.242898	0	0.0046082949	33
ART-D	closure_v1	17	0	225.303839	0	0	111
ART-D	closure_v1	18	0	200.164779	0	0	104
ART-D	closure_v1	19	0	169.199972	0	0	40
ART-D	closure_v1	20	0	221.465343	0	0	104
ART-D	closure_v1	21	0	213.743772	0	0	82
ART-D	closure_v1	22	0	215.239426	0	0.0046082949	21
ART-D	closure_v1	23	0	180.704754	0	0	61
ART-D	closure_v1	24	0	248.351537	0	0	4
ART-D	closure_v1	25	0	240.25764	0	0	21
ART-D	closure_v1	26	0	231.582595	0	0	164
ART-D	closure_v1	27	0	221.744279	0	0.0046082949	34
ART-D	closure_v1	28	0	218.059791	0	0	81
ART-D	closure_v1	29	0	173.702736	0	0.0046082949	4
ART-D	closure_v1	30	0	205.587276	0	0	48
ART-D	closure_v1	31	0	205.896075	0	0.0046082949	95
ART-D	closure_v1	32	0	223.460261	0	0.0046082949	86
ART-D	closure_v1	33	0	251.107183	0	0	8
ART-D	closure_v1	34	0	210.79052	0	0	35
ART-D	closure_v1	35	0	211.482863	0	0	65
ART-D	closure_v1	36	0	287.113857	0	0	90
ART-D	closure_v1	37	0	236.695643	0	0.0046082949	39
ART-D	closure_v1	38	0	210.461025	0	0	112
ART-D	closure_v1	39	0	238.259017	0	0	13
ART-D	closure_v1	40	0	178.117286	0	0	96
ART-D	closure_v1	41	0	216.784399	0	0	108
ART-D	closure_v1	42	0	196.597166	0	0.0046082949	13
ART-D	closure_v1	43	0	196.057422	0	0	19
ART-D	closure_v1	44	0	207.969906	0	0	23
ART-D	closure_v1	45	0	227.51483	0	0	58
ART-D	closure_v1	46	0	207.012	0	0	2
ART-D	closure_v1	47	0	240.163254	0	0	22
ART-D	closure_v1	48	0	209.329776	0	0	9
ART-D	closure_v1	49	0	218.987559	0	0	58
ART-D	closure_v1	50	0	250.275146	0	0	16
ART-D	lang_v1	1	0	1.848386	0	0.0181818182	98
ART-D	lang_v1	2	0	1.805209	0	0	60
ART-D	lang_v1	3	0	1.862059	0	0	84
ART-D	lang_v1	4	0	2.125456	0	0	18
ART-D	lang_v1	5	0	1.877078	0	0	12
ART-D	lang_v1	6	0	1.947488	0	0.0090909091	50
ART-D	lang_v1	7	0	1.695052	0	0.0090909091	34
ART-D	lang_v1	8	0	1.788042	0	0.0090909091	59
ART-D	lang_v1	9	0	1.768974	0	0	2
ART-D	lang_v1	10	0	1.500113	0	0	3
ART-D	lang_v1	11	0	1.766391	0	0	18
ART-D	lang_v1	12	0	2.196248	0	0	56
ART-D	lang_v1	13	0	1.460658	0	0	51
ART-D	lang_v1	14	0	1.754054	0	0	65
ART-D	lang_v1	15	0	1.771428	0	0	100
ART-D	lang_v1	16	0	1.622555	0	0	110
ART-D	lang_v1	17	0	1.688024	0	0	70
ART-D	lang_v1	18	0	2.395563	0	0	4
ART-D	lang_v1	19	0	1.547808	0	0	88
ART-D	lang_v1	20	0	2.108374	0	0	20
ART-D	lang_v1	21	0	1.742217	0	0.0090909091	36
ART-D	lang_v1	22	0	2.000601	0	0	67
ART-D	lang_v1	23	0	1.756159	0	0	79
ART-D	lang_v1	24	0	1.848511	0	0	80
ART-D	lang_v1	25	0	1.604888	0	0	93
ART-D	lang_v1	26	0	1.984463	0	0	69
ART-D	lang_v1	27	0	1.66472	0	0	29
ART-D	lang_v1	28	0	1.903216	0	0	88
ART-D	lang_v1	29	0	2.138976	0	0	40
ART-D	lang_v1	30	0	1.566006	0	0.0090909091	74
ART-D	lang_v1	31	0	2.275606	0	0	3
ART-D	lang_v1	32	0	2.332459	0	0	49
ART-D	lang_v1	33	0	1.659424	0	0	74
ART-D	lang_v1	34	0	1.944301	0	0	107
ART-D	lang_v1	35	0	1.55064	0	0	74
ART-D	lang_v1	36	0	1.829921	0	0	20
ART-D	lang_v1	37	0	1.923519	0	0	45
ART-D	lang_v1	38	0	1.961137	0	0	106
ART-D	lang_v1	39	0	1.709849	0	0	97
ART-D	lang_v1	40	0	1.636665	0	0	6
ART-D	lang_v1	41	0	1.840035	0	0	105
ART-D	lang_v1	42	0	1.48175	0	0	2
ART-D	lang_v1	43	0	1.634222	0	0	20
ART-D	lang_v1	44	0	2.206524	0	0.0090909091	109
ART-D	lang_v1	45	0	1.891461	0	0	29
ART-D	lang_v1	46	0	2.310364	0	0.0272727273	91
ART-D	lang_v1	47	0	1.461554	0	0	58
ART-D	lang_v1	48	0	1.983282	0	0	92
ART-D	lang_v1	49	0	1.617529	0	0	74
ART-D	lang_v1	50	0	2.250477	0	0	1
ART-D	math_v1	1	0	168.960651	0	0	328
ART-D	math_v1	2	0	198.427271	0	0.0026041667	215
ART-D	math_v1	3	0	140.82073	0	0.0052083333	9
ART-D	math_v1	4	0	201.85159	0	0	68
ART-D	math_v1	5	0	161.067529	0	0.0078125	196
ART-D	math_v1	6	0	164.918796	0	0	98
ART-D	math_v1	7	0	196.397314	0	0.0026041667	86
ART-D	math_v1	8	0	161.183321	0	0.0078125	131
ART-D	math_v1	9	0	165.379248	0	0	106
ART-D	math_v1	10	0	202.246223	0	0	202
ART-D	math_v1	11	0	149.685805	0	0	337
ART-D	math_v1	12	0	169.408816	0	0.0026041667	97
ART-D	math_v1	13	0	168.412076	0	0	52
ART-D	math_v1	14	0	144.163428	0	0.0026041667	172
ART-D	math_v1	15	0	167.250553	0	0	95
ART-D	math_v1	16	0	141.067883	0	0.0052083333	111
ART-D	math_v1	17	0	161.113579	0	0	133
ART-D	math_v1	18	0	168.92899	0	0.0052083333	24
ART-D	math_v1	19	0	151.102613	0	0	61
ART-D	math_v1	20	0	145.555545	0	0	62
ART-D	math_v1	21	0	180.186853	0	0	31
ART-D	math_v1	22	0	166.081483	0	0	375
ART-D	math_v1	23	0	156.387855	0	0	20
ART-D	math_v1	24	0	177.323939	0	0.0104166667	312
ART-D	math_v1	25	0	165.932119	0	0	114
ART-D	math_v1	26	0	147.528932	0	0	85
