Algorithm	Subject	Run	PreparationTime	SelectionTime	FaultDetectionLoss	TestSuiteReduction	FirstFaultyTest
ART-D	flex_v3	1	0	165.157834	0	0.0298507463	2
ART-D	flex_v3	2	0	173.093755	0	0.023880597	1
ART-D	flex_v3	3	0	153.738143	0	0.0447761194	1
ART-D	flex_v3	4	0	157.138519	0	0.076119403	1
ART-D	flex_v3	5	0	154.291636	0	0.0850746269	1
ART-D	flex_v3	6	0	172.144337	0	0.0268656716	1
ART-D	flex_v3	7	0	147.79135	0	0.1119402985	1
ART-D	flex_v3	8	0	175.408441	0	0.0014925373	1
ART-D	flex_v3	9	0	175.566158	0	0.0014925373	2
ART-D	flex_v3	10	0	169.058063	0	0.0313432836	1
ART-D	flex_v3	11	0	165.63944	0	0.0492537313	1
ART-D	flex_v3	12	0	131.971553	0	0.1641791045	2
ART-D	flex_v3	13	0	175.436905	0	0	2
ART-D	flex_v3	14	0	170.762978	0	0	2
ART-D	flex_v3	15	0	162.652707	0	0.0149253731	2
ART-D	flex_v3	16	0	190.469326	0	0.0134328358	2
ART-D	flex_v3	17	0	169.687532	0	0.0044776119	3
ART-D	flex_v3	18	0	165.150751	0	0.0253731343	1
ART-D	flex_v3	19	0	174.360806	0	0.0029850746	1
ART-D	flex_v3	20	0	179.07883	0	0.0104477612	2
ART-D	flex_v3	21	0	181.909934	0	0	1
ART-D	flex_v3	22	0	177.496421	0	0	1
ART-D	flex_v3	23	0	185.843081	0	0.0149253731	1
ART-D	flex_v3	24	0	152.625747	0	0.0791044776	1
ART-D	flex_v3	25	0	163.123729	0	0.052238806	1
ART-D	flex_v3	26	0	159.003021	0	0.023880597	1
ART-D	flex_v3	27	0	181.335273	0	0.0029850746	1
ART-D	flex_v3	28	0	169.318146	0	0.0194029851	2
ART-D	flex_v3	29	0	166.376123	0	0.0567164179	1
ART-D	flex_v3	30	0	170.698725	0	0.0208955224	1
ART-D	flex_v3	31	0	118.324954	0	0.1820895522	2
ART-D	flex_v3	32	0	164.979516	0	0.0611940299	2
ART-D	flex_v3	33	0	166.970783	0	0.028358209	1
ART-D	flex_v3	34	0	173.859038	0	0.0059701493	3
ART-D	flex_v3	35	0	172.760078	0	0.0253731343	2
ART-D	flex_v3	36	0	183.535689	0	0.0059701493	1
ART-D	flex_v3	37	0	161.016825	0	0.0313432836	1
ART-D	flex_v3	38	0	178.507317	0	0.0059701493	1
ART-D	flex_v3	39	0	174.770509	0	0.0134328358	1
ART-D	flex_v3	40	0	148.043058	0	0.0910447761	3
ART-D	flex_v3	41	0	163.095243	0	0.028358209	1
ART-D	flex_v3	42	0	147.627706	0	0.0835820896	1
ART-D	flex_v3	43	0	166.342227	0	0.028358209	1
ART-D	flex_v3	44	0	174.976022	0	0.0402985075	2
ART-D	flex_v3	45	0	167.222239	0	0.0388059701	4
ART-D	flex_v3	46	0	172.419108	0	0.0179104478	2
ART-D	flex_v3	47	0	167.505619	0	0.0537313433	1
ART-D	flex_v3	48	0	110.705012	0	0.2164179104	1
ART-D	flex_v3	49	0	150.178162	0	0.1253731343	2
ART-D	flex_v3	50	0	156.188479	0	0.0313432836	3
ART-D	grep_v3	1	0	233.723169	0	0.0024721879	1
ART-D	grep_v3	2	0	242.180003	0	0.0061804697	1
ART-D	grep_v3	3	0	224.539235	0	0.044499382	1
ART-D	grep_v3	4	0	204.97288	0	0.0358467244	1
ART-D	grep_v3	5	0	213.005231	0	0.044499382	1
ART-D	grep_v3	6	0	220.733897	0	0.0123609394	2
ART-D	grep_v3	7	0	233.59038	0	0.0037082818	1
ART-D	grep_v3	8	0	221.901719	0	0.0061804697	1
ART-D	grep_v3	9	0	231.99859	0	0.0185414091	1
ART-D	grep_v3	10	0	228.753298	0	0.0568603214	1
ART-D	grep_v3	11	0	222.673381	0	0.0667490729	1
ART-D	grep_v3	12	0	208.845578	0	0.0346106304	2
ART-D	grep_v3	13	0	214.633577	0	0.0284301607	1
ART-D	grep_v3	14	0	248.241736	0	0.0333745365	2
ART-D	grep_v3	15	0	222.78907	0	0.0012360939	2
ART-D	grep_v3	16	0	239.707911	0	0.0519159456	1
ART-D	grep_v3	17	0	223.543586	0	0.0309023486	1
