Algorithm	Subject	Run	PreparationTime	SelectionTime	FaultDetectionLoss	TestSuiteReduction	FirstFaultyTest
ART-D	flex_v3	1	0	6.837746	0	0.3	2
ART-D	flex_v3	2	0	8.347359	0	0.2059701493	3
ART-D	flex_v3	3	0	2.105109	0.1111111111	0.6194029851	1
ART-D	flex_v3	4	0	6.537831	0	0.2985074627	1
ART-D	flex_v3	5	0	12.243264	0	0.0089552239	2
ART-D	flex_v3	6	0	5.944393	0	0.3358208955	1
ART-D	flex_v3	7	0	9.487278	0	0.1373134328	1
ART-D	flex_v3	8	0	6.948002	0	0.2925373134	2
ART-D	flex_v3	9	0	7.323828	0	0.2611940299	1
ART-D	flex_v3	10	0	9.486733	0	0.1656716418	4
ART-D	flex_v3	11	0	6.825742	0	0.2776119403	1
ART-D	flex_v3	12	0	11.818858	0	0.0746268657	2
ART-D	flex_v3	13	0	2.892567	0	0.5656716418	3
ART-D	flex_v3	14	0	11.359364	0	0.1134328358	1
ART-D	flex_v3	15	0	8.45169	0	0.2253731343	1
ART-D	flex_v3	16	0	7.011964	0	0.3074626866	1
ART-D	flex_v3	17	0	10.062191	0	0.152238806	1
ART-D	flex_v3	18	0	10.163792	0	0.1791044776	2
ART-D	flex_v3	19	0	11.883021	0	0.0820895522	2
ART-D	flex_v3	20	0	3.78526	0	0.4985074627	1
ART-D	flex_v3	21	0	7.444986	0	0.276119403	1
ART-D	flex_v3	22	0	10.889073	0	0.0970149254	1
ART-D	flex_v3	23	0	5.39882	0	0.3850746269	4
ART-D	flex_v3	24	0	9.038123	0	0.2044776119	2
ART-D	flex_v3	25	0	8.836893	0	0.1970149254	2
ART-D	flex_v3	26	0	9.122155	0	0.1850746269	2
ART-D	flex_v3	27	0	10.659975	0	0.1149253731	1
ART-D	flex_v3	28	0	11.553939	0	0.0805970149	2
ART-D	flex_v3	29	0	7.453858	0	0.2611940299	2
ART-D	flex_v3	30	0	9.819712	0	0.1656716418	1
ART-D	flex_v3	31	0	10.420524	0	0.1358208955	2
ART-D	flex_v3	32	0	10.89198	0	0.1059701493	5
ART-D	flex_v3	33	0	11.736457	0	0.0835820896	1
ART-D	flex_v3	34	0	12.073302	0	0.0656716418	3
ART-D	flex_v3	35	0	1.889141	0	0.6417910448	2
ART-D	flex_v3	36	0	9.323564	0	0.1865671642	1
ART-D	flex_v3	37	0	11.469365	0	0.1194029851	1
ART-D	flex_v3	38	0	11.030439	0	0.1223880597	2
ART-D	flex_v3	39	0	8.454887	0	0.2253731343	1
ART-D	flex_v3	40	0	9.601688	0	0.1820895522	1
ART-D	flex_v3	41	0	13.303128	0	0.0432835821	1
ART-D	flex_v3	42	0	11.131776	0	0.1119402985	2
ART-D	flex_v3	43	0	10.577651	0	0.147761194	1
ART-D	flex_v3	44	0	11.37002	0	0.0940298507	3
ART-D	flex_v3	45	0	13.010868	0	0.0208955224	2
ART-D	flex_v3	46	0	7.100982	0	0.2880597015	2
ART-D	flex_v3	47	0	10.916093	0	0.1373134328	1
ART-D	flex_v3	48	0	12.522378	0	0.0552238806	2
ART-D	flex_v3	49	0	7.208256	0	0.2805970149	3
ART-D	flex_v3	50	0	6.462557	0	0.3179104478	4
ART-D	grep_v3	1	0	0.022994	0.625	0.9913473424	1
ART-D	grep_v3	2	0	0.028694	0.375	0.9901112485	1
ART-D	grep_v3	3	0	0.024206	0.25	0.9876390606	1
ART-D	grep_v3	4	0	0.021555	0.125	0.9901112485	1
ART-D	grep_v3	5	0	0.022839	0.375	0.9901112485	1
ART-D	grep_v3	6	0	0.022997	0.5	0.9876390606	1
ART-D	grep_v3	7	0	0.021818	0.5	0.9901112485	1
ART-D	grep_v3	8	0	0.028843	0.25	0.9839307787	1
ART-D	grep_v3	9	0	0.022856	0.625	0.9913473424	1
ART-D	grep_v3	10	0	0.021163	0.5	0.9913473424	1
ART-D	grep_v3	11	0	0.022752	0.375	0.9888751545	1
ART-D	grep_v3	12	0	0.021272	0.375	0.9913473424	1
ART-D	grep_v3	13	0	0.024106	0.25	0.9888751545	1
ART-D	grep_v3	14	0	0.023732	0.5	0.9876390606	1
ART-D	grep_v3	15	0	0.022272	0.375	0.9901112485	1
ART-D	grep_v3	16	0	0.022212	0.25	0.9913473424	1
ART-D	grep_v3	17	0	0.022102	0.5	0.9913473424	1
ART-D	grep_v3	18	0	0.044887	0.5	0.9901112485	1
ART-D	grep_v3	19	0	0.022521	0.25	0.9901112485	1
ART-D	grep_v3	20	0	0.022738	0.25	0.9864029666	1
ART-D	grep_v3	21	0	0.021738	0.25	0.9901112485	1
ART-D	grep_v3	22	0	0.025047	0.5	0.9851668727	1
ART-D	grep_v3	23	0	0.022492	0.5	0.9901112485	1
ART-D	grep_v3	24	0	0.022395	0.5	0.9888751545	1
ART-D	grep_v3	25	0	0.025482	0.625	0.9851668727	1
ART-D	grep_v3	26	0	0.023862	0.25	0.9876390606	1
ART-D	grep_v3	27	0	0.024074	0.375	0.9864029666	1
ART-D	grep_v3	28	0	0.023989	0.5	0.9864029666	1
ART-D	grep_v3	29	0	0.024794	0.375	0.9839307787	1
ART-D	grep_v3	30	0	0.028857	0.375	0.9925834363	1
ART-D	grep_v3	31	0	0.021889	0.375	0.9913473424	1
ART-D	grep_v3	32	0	0.0245	0.5	0.9901112485	2
ART-D	grep_v3	33	0	0.022848	0.375	0.9913473424	1
ART-D	grep_v3	34	0	0.023604	0.375	0.9901112485	1
ART-D	grep_v3	35	0	0.026084	0.625	0.9876390606	1
ART-D	grep_v3	36	0	0.026875	0.375	0.9864029666	1
ART-D	grep_v3	37	0	0.023248	0.5	0.9888751545	1
ART-D	grep_v3	38	0	0.021038	0.375	0.9925834363	1
ART-D	grep_v3	39	0	0.021732	0.375	0.9888751545	1
ART-D	grep_v3	40	0	0.023397	0.25	0.9876390606	1
ART-D	grep_v3	41	0	0.021781	0.375	0.9913473424	1
ART-D	grep_v3	42	0	0.021753	0.5	0.9913473424	1
ART-D	grep_v3	43	0	0.021275	0.5	0.9901112485	1
ART-D	grep_v3	44	0	0.020547	0.5	0.9925834363	1
ART-D	grep_v3	45	0	0.025143	0.5	0.9864029666	1
ART-D	grep_v3	46	0	0.021145	0.5	0.9913473424	1
ART-D	grep_v3	47	0	0.02123	0.625	0.9925834363	1
ART-D	grep_v3	48	0	0.021952	0.625	0.9901112485	1
ART-D	grep_v3	49	0	0.02307	0.625	0.9888751545	1
ART-D	grep_v3	50	0	0.024624	0.5	0.9888751545	1
ART-D	gzip_v1	1	0	0.20831	0	0.1495327103	1
ART-D	gzip_v1	2	0	0.193716	0	0.2102803738	1
ART-D	gzip_v1	3	0	0.149258	0	0.2570093458	1
ART-D	gzip_v1	4	0	0.133439	0	0.2990654206	1
ART-D	gzip_v1	5	0	0.128579	0	0.3224299065	1
ART-D	gzip_v1	6	0	0.228946	0	0.0514018692	1
ART-D	gzip_v1	7	0	0.248072	0	0.0560747664	1
ART-D	gzip_v1	8	0	0.085653	0	0.476635514	1
ART-D	gzip_v1	9	0	0.169152	0	0.238317757	1
ART-D	gzip_v1	10	0	0.156234	0	0.2476635514	1
ART-D	gzip_v1	11	0	0.084979	0	0.4579439252	1
ART-D	gzip_v1	12	0	0.111666	0	0.3644859813	1
ART-D	gzip_v1	13	0	0.066231	0	0.5420560748	1
ART-D	gzip_v1	14	0	0.116004	0	0.3738317757	1
ART-D	gzip_v1	15	0	0.097242	0.1428571429	0.4392523364	1
ART-D	gzip_v1	16	0	0.19548	0	0.2056074766	1
ART-D	gzip_v1	17	0	0.153666	0	0.2943925234	1
ART-D	gzip_v1	18	0	0.208802	0	0.1495327103	1
ART-D	gzip_v1	19	0	0.085496	0	0.5	1
ART-D	gzip_v1	20	0	0.199659	0	0.1542056075	1
ART-D	gzip_v1	21	0	0.172277	0	0.2523364486	2
ART-D	gzip_v1	22	0	0.245917	0	0.0607476636	1
ART-D	gzip_v1	23	0	0.144268	0	0.2897196262	1
ART-D	gzip_v1	24	0	0.086353	0	0.4719626168	1
ART-D	gzip_v1	25	0	0.225173	0	0.0934579439	1
ART-D	gzip_v1	26	0	0.138761	0.1428571429	0.3411214953	1
ART-D	gzip_v1	27	0	0.133099	0	0.3130841121	1
ART-D	gzip_v1	28	0	0.137818	0	0.2897196262	1
ART-D	gzip_v1	29	0	0.121911	0	0.3504672897	1
ART-D	gzip_v1	30	0	0.192896	0	0.1962616822	1
ART-D	gzip_v1	31	0	0.051925	0	0.5887850467	1
ART-D	gzip_v1	32	0	0.204587	0	0.1214953271	1
ART-D	gzip_v1	33	0	0.210775	0	0.1448598131	1
ART-D	gzip_v1	34	0	0.157061	0	0.2289719626	1
ART-D	gzip_v1	35	0	0.080458	0	0.4859813084	1
ART-D	gzip_v1	36	0	0.134775	0	0.3364485981	1
ART-D	gzip_v1	37	0	0.150592	0	0.3037383178	1
ART-D	gzip_v1	38	0	0.174296	0.1428571429	0.2336448598	1
ART-D	gzip_v1	39	0	0.209142	0	0.1869158879	1
ART-D	gzip_v1	40	0	0.132853	0	0.3411214953	1
ART-D	gzip_v1	41	0	0.163895	0	0.2476635514	1
ART-D	gzip_v1	42	0	0.046464	0	0.6308411215	1
ART-D	gzip_v1	43	0	0.137258	0	0.3271028037	1
ART-D	gzip_v1	44	0	0.239804	0	0.0607476636	1
ART-D	gzip_v1	45	0	0.247668	0	0.0794392523	1
ART-D	gzip_v1	46	0	0.104374	0	0.4299065421	1
ART-D	gzip_v1	47	0	0.117585	0	0.3878504673	1
