Algorithm	Subject	Run	PreparationTime	SelectionTime	FaultDetectionLoss	TestSuiteReduction	FirstFaultyTest
ART-D	flex_v3	1	0	387.004682	0	0.0119402985	2
ART-D	flex_v3	2	0	374.66115	0	0.0492537313	2
ART-D	flex_v3	3	0	345.401781	0	0.0492537313	1
ART-D	flex_v3	4	0	369.821766	0	0.023880597	1
ART-D	flex_v3	5	0	343.318671	0	0.0537313433	2
ART-D	flex_v3	6	0	356.380519	0	0.0328358209	2
ART-D	flex_v3	7	0	350.841895	0	0.0567164179	1
ART-D	flex_v3	8	0	300.763038	0	0.0955223881	1
ART-D	flex_v3	9	0	345.328619	0	0.0388059701	1
ART-D	flex_v3	10	0	342.28324	0	0.0567164179	3
ART-D	flex_v3	11	0	357.779244	0	0.0164179104	1
ART-D	flex_v3	12	0	372.031532	0	0.0223880597	1
ART-D	flex_v3	13	0	342.8867	0	0.0537313433	1
ART-D	flex_v3	14	0	342.77232	0	0.0701492537	2
ART-D	flex_v3	15	0	343.906975	0	0.0343283582	1
ART-D	flex_v3	16	0	374.991488	0	0.0029850746	2
ART-D	flex_v3	17	0	368.497856	0	0.0134328358	1
ART-D	flex_v3	18	0	362.141508	0	0.0402985075	1
ART-D	flex_v3	19	0	364.541273	0	0.0194029851	3
ART-D	flex_v3	20	0	329.534502	0	0.0626865672	2
ART-D	flex_v3	21	0	343.280764	0	0.0208955224	1
ART-D	flex_v3	22	0	374.177531	0	0.0149253731	4
ART-D	flex_v3	23	0	379.783605	0	0.0149253731	1
ART-D	flex_v3	24	0	353.077675	0	0.0104477612	1
ART-D	flex_v3	25	0	376.400201	0	0.0179104478	4
ART-D	flex_v3	26	0	315.907921	0	0.0671641791	1
ART-D	flex_v3	27	0	320.932326	0	0.0432835821	2
ART-D	flex_v3	28	0	306.408438	0	0.1089552239	3
ART-D	flex_v3	29	0	374.783196	0	0.0179104478	1
ART-D	flex_v3	30	0	365.410134	0	0.0119402985	4
ART-D	flex_v3	31	0	370.247942	0	0.0044776119	1
ART-D	flex_v3	32	0	361.790458	0	0.0492537313	1
ART-D	flex_v3	33	0	299.996495	0	0.1343283582	3
ART-D	flex_v3	34	0	334.630498	0	0.0582089552	3
ART-D	flex_v3	35	0	337.721732	0	0.0582089552	2
ART-D	flex_v3	36	0	363.648671	0	0.052238806	1
ART-D	flex_v3	37	0	335.586482	0	0.071641791	1
ART-D	flex_v3	38	0	379.444362	0	0.0104477612	1
ART-D	flex_v3	39	0	377.821929	0	0.0223880597	1
ART-D	flex_v3	40	0	362.766751	0	0.047761194	1
ART-D	flex_v3	41	0	346.230076	0	0.0358208955	3
ART-D	flex_v3	42	0	314.958383	0	0.0925373134	2
ART-D	flex_v3	43	0	364.752789	0	0.0074626866	3
ART-D	flex_v3	44	0	363.148164	0	0.0462686567	1
ART-D	flex_v3	45	0	332.442908	0	0.0626865672	1
ART-D	flex_v3	46	0	335.633442	0	0.0626865672	1
