Algorithm	Subject	Run	ReductionPercentage	PreparationTime	SelectionTime	FaultDetectionLoss	FirstFaultyTest
ART-D	chart_v1	1	1	0	0.014929	1	-1
ART-D	chart_v1	2	1	0	0.01589	1	-1
ART-D	chart_v1	3	1	0	0.013827	1	-1
ART-D	chart_v1	4	1	0	0.02155	1	-1
ART-D	chart_v1	5	1	0	0.01779	1	-1
ART-D	chart_v1	6	1	0	0.015088	1	-1
ART-D	chart_v1	7	1	0	0.016867	1	-1
ART-D	chart_v1	8	1	0	0.020421	1	-1
ART-D	chart_v1	9	1	0	0.015741	1	-1
ART-D	chart_v1	10	1	0	0.015699	1	-1
ART-D	chart_v1	11	1	0	0.018268	1	-1
ART-D	chart_v1	12	1	0	0.017388	1	-1
ART-D	chart_v1	13	1	0	0.019507	1	-1
ART-D	chart_v1	14	1	0	0.013787	1	-1
ART-D	chart_v1	15	1	0	0.01985	1	-1
ART-D	chart_v1	16	1	0	0.01943	1	-1
ART-D	chart_v1	17	1	0	0.017691	1	-1
ART-D	chart_v1	18	1	0	0.021293	1	-1
ART-D	chart_v1	19	1	0	0.023722	1	-1
ART-D	chart_v1	20	1	0	0.019931	1	-1
ART-D	chart_v1	21	1	0	0.020405	1	-1
ART-D	chart_v1	22	1	0	0.01935	1	-1
ART-D	chart_v1	23	1	0	0.017584	1	-1
ART-D	chart_v1	24	1	0	0.023768	1	-1
ART-D	chart_v1	25	1	0	0.019658	1	-1
ART-D	chart_v1	26	1	0	0.018427	1	-1
ART-D	chart_v1	27	1	0	0.020866	1	-1
ART-D	chart_v1	28	1	0	0.024337	1	-1
ART-D	chart_v1	29	1	0	0.018928	1	-1
ART-D	chart_v1	30	1	0	0.022318	1	-1
ART-D	chart_v1	31	1	0	0.01979	1	-1
ART-D	chart_v1	32	1	0	0.021283	1	-1
ART-D	chart_v1	33	1	0	0.018186	1	-1
ART-D	chart_v1	34	1	0	0.026298	1	-1
ART-D	chart_v1	35	1	0	0.022159	1	-1
ART-D	chart_v1	36	1	0	0.022067	1	-1
ART-D	chart_v1	37	1	0	0.020754	1	-1
ART-D	chart_v1	38	1	0	0.024301	1	-1
ART-D	chart_v1	39	1	0	0.019595	1	-1
ART-D	chart_v1	40	1	0	0.019522	1	-1
ART-D	chart_v1	41	1	0	0.023936	1	-1
ART-D	chart_v1	42	1	0	0.024453	1	-1
ART-D	chart_v1	43	1	0	0.022625	1	-1
ART-D	chart_v1	44	1	0	0.027937	1	-1
ART-D	chart_v1	45	1	0	0.018953	1	-1
ART-D	chart_v1	46	1	0	0.020548	1	-1
ART-D	chart_v1	47	1	0	0.021162	1	-1
ART-D	chart_v1	48	1	0	0.0223	1	-1
ART-D	chart_v1	49	1	0	0.016976	1	-1
ART-D	chart_v1	50	1	0	0.018023	1	-1
ART-D	chart_v1	1	2	0	0.022125	1	-1
ART-D	chart_v1	2	2	0	0.019454	1	-1
ART-D	chart_v1	3	2	0	0.016092	1	-1
ART-D	chart_v1	4	2	0	0.019086	1	-1
ART-D	chart_v1	5	2	0	0.017205	1	-1
ART-D	chart_v1	6	2	0	0.029375	1	-1
ART-D	chart_v1	7	2	0	0.026695	1	-1
ART-D	chart_v1	8	2	0	0.016201	1	-1
ART-D	chart_v1	9	2	0	0.017777	1	-1
ART-D	chart_v1	10	2	0	0.023751	1	-1
ART-D	chart_v1	11	2	0	0.02966	1	-1
ART-D	chart_v1	12	2	0	0.020373	1	-1
ART-D	chart_v1	13	2	0	0.021317	1	-1
ART-D	chart_v1	14	2	0	0.026385	1	-1
ART-D	chart_v1	15	2	0	0.017254	1	-1
ART-D	chart_v1	16	2	0	0.02436	1	-1
ART-D	chart_v1	17	2	0	0.0178	1	-1
ART-D	chart_v1	18	2	0	0.016879	1	-1
ART-D	chart_v1	19	2	0	0.023016	1	-1
ART-D	chart_v1	20	2	0	0.023822	1	-1
ART-D	chart_v1	21	2	0	0.018867	1	-1
ART-D	chart_v1	22	2	0	0.020016	1	-1
ART-D	chart_v1	23	2	0	0.028006	1	-1
ART-D	chart_v1	24	2	0	0.032114	1	-1
ART-D	chart_v1	25	2	0	0.043867	1	-1
ART-D	chart_v1	26	2	0	0.032066	1	-1
ART-D	chart_v1	27	2	0	0.021526	1	-1
ART-D	chart_v1	28	2	0	0.031194	1	-1
ART-D	chart_v1	29	2	0	0.021683	1	-1
ART-D	chart_v1	30	2	0	0.023672	1	-1
ART-D	chart_v1	31	2	0	0.023678	1	-1
ART-D	chart_v1	32	2	0	0.029788	1	-1
ART-D	chart_v1	33	2	0	0.019428	1	-1
ART-D	chart_v1	34	2	0	0.027547	1	-1
ART-D	chart_v1	35	2	0	0.032149	1	-1
ART-D	chart_v1	36	2	0	0.023027	1	-1
ART-D	chart_v1	37	2	0	0.040932	1	-1
ART-D	chart_v1	38	2	0	0.022068	1	-1
ART-D	chart_v1	39	2	0	0.028593	1	-1
ART-D	chart_v1	40	2	0	0.027596	1	-1
ART-D	chart_v1	41	2	0	0.039114	1	-1
ART-D	chart_v1	42	2	0	0.020818	1	-1
ART-D	chart_v1	43	2	0	0.032887	1	-1
ART-D	chart_v1	44	2	0	0.030013	1	-1
ART-D	chart_v1	45	2	0	0.022223	1	-1
ART-D	chart_v1	46	2	0	0.022431	1	-1
ART-D	chart_v1	47	2	0	0.035931	1	-1
ART-D	chart_v1	48	2	0	0.027297	1	-1
ART-D	chart_v1	49	2	0	0.024601	1	-1
ART-D	chart_v1	50	2	0	0.028891	1	-1
ART-D	chart_v1	1	3	0	0.039304	1	-1
ART-D	chart_v1	2	3	0	0.022595	1	-1
ART-D	chart_v1	3	3	0	0.024484	1	-1
ART-D	chart_v1	4	3	0	0.031396	1	-1
ART-D	chart_v1	5	3	0	0.029016	1	-1
ART-D	chart_v1	6	3	0	0.038262	1	-1
ART-D	chart_v1	7	3	0	0.030442	1	-1
ART-D	chart_v1	8	3	0	0.017836	1	-1
ART-D	chart_v1	9	3	0	0.019409	1	-1
ART-D	chart_v1	10	3	0	0.01856	0	4
ART-D	chart_v1	11	3	0	0.022901	1	-1
ART-D	chart_v1	12	3	0	0.028839	1	-1
ART-D	chart_v1	13	3	0	0.033821	1	-1
ART-D	chart_v1	14	3	0	0.041689	1	-1
ART-D	chart_v1	15	3	0	0.020532	1	-1
ART-D	chart_v1	16	3	0	0.026196	1	-1
ART-D	chart_v1	17	3	0	0.023525	1	-1
ART-D	chart_v1	18	3	0	0.023022	1	-1
ART-D	chart_v1	19	3	0	0.059248	1	-1
ART-D	chart_v1	20	3	0	0.021597	1	-1
ART-D	chart_v1	21	3	0	0.017823	1	-1
ART-D	chart_v1	22	3	0	0.026658	1	-1
ART-D	chart_v1	23	3	0	0.030534	1	-1
ART-D	chart_v1	24	3	0	0.020879	1	-1
ART-D	chart_v1	25	3	0	0.024966	1	-1
ART-D	chart_v1	26	3	0	0.022676	1	-1
ART-D	chart_v1	27	3	0	0.02495	1	-1
ART-D	chart_v1	28	3	0	0.023754	1	-1
ART-D	chart_v1	29	3	0	0.018394	1	-1
ART-D	chart_v1	30	3	0	0.028387	1	-1
ART-D	chart_v1	31	3	0	0.0537	1	-1
ART-D	chart_v1	32	3	0	0.025267	1	-1
ART-D	chart_v1	33	3	0	0.020663	1	-1
ART-D	chart_v1	34	3	0	0.036364	1	-1
ART-D	chart_v1	35	3	0	0.016861	1	-1
ART-D	chart_v1	36	3	0	0.025792	1	-1
ART-D	chart_v1	37	3	0	0.039321	1	-1
ART-D	chart_v1	38	3	0	0.025469	1	-1
ART-D	chart_v1	39	3	0	0.032674	1	-1
ART-D	chart_v1	40	3	0	0.025588	1	-1
ART-D	chart_v1	41	3	0	0.031607	1	-1
ART-D	chart_v1	42	3	0	0.023317	1	-1
ART-D	chart_v1	43	3	0	0.030469	1	-1
ART-D	chart_v1	44	3	0	0.050299	1	-1
ART-D	chart_v1	45	3	0	0.022046	1	-1
ART-D	chart_v1	46	3	0	0.031706	1	-1
ART-D	chart_v1	47	3	0	0.031205	1	-1
ART-D	chart_v1	48	3	0	0.026979	1	-1
ART-D	chart_v1	49	3	0	0.022873	1	-1
ART-D	chart_v1	50	3	0	0.039852	1	-1
ART-D	chart_v1	1	4	0	0.038767	1	-1
ART-D	chart_v1	2	4	0	0.062697	1	-1
ART-D	chart_v1	3	4	0	0.03697	1	-1
ART-D	chart_v1	4	4	0	0.039331	1	-1
ART-D	chart_v1	5	4	0	0.046655	1	-1
ART-D	chart_v1	6	4	0	0.035407	1	-1
ART-D	chart_v1	7	4	0	0.058587	1	-1
ART-D	chart_v1	8	4	0	0.040034	1	-1
ART-D	chart_v1	9	4	0	0.059036	1	-1
ART-D	chart_v1	10	4	0	0.026977	1	-1
ART-D	chart_v1	11	4	0	0.039687	1	-1
ART-D	chart_v1	12	4	0	0.039042	1	-1
ART-D	chart_v1	13	4	0	0.026644	1	-1
ART-D	chart_v1	14	4	0	0.047964	1	-1
ART-D	chart_v1	15	4	0	0.038485	1	-1
ART-D	chart_v1	16	4	0	0.058976	1	-1
ART-D	chart_v1	17	4	0	0.031182	1	-1
ART-D	chart_v1	18	4	0	0.031761	1	-1
ART-D	chart_v1	19	4	0	0.052449	1	-1
ART-D	chart_v1	20	4	0	0.038307	1	-1
ART-D	chart_v1	21	4	0	0.033946	1	-1
ART-D	chart_v1	22	4	0	0.023018	1	-1
ART-D	chart_v1	23	4	0	0.024034	1	-1
ART-D	chart_v1	24	4	0	0.044819	1	-1
ART-D	chart_v1	25	4	0	0.039335	1	-1
ART-D	chart_v1	26	4	0	0.035482	1	-1
ART-D	chart_v1	27	4	0	0.028818	1	-1
ART-D	chart_v1	28	4	0	0.026823	1	-1
ART-D	chart_v1	29	4	0	0.029038	1	-1
ART-D	chart_v1	30	4	0	0.051612	1	-1
ART-D	chart_v1	31	4	0	0.038082	1	-1
ART-D	chart_v1	32	4	0	0.06365	1	-1
ART-D	chart_v1	33	4	0	0.026227	1	-1
ART-D	chart_v1	34	4	0	0.02792	1	-1
ART-D	chart_v1	35	4	0	0.038945	1	-1
ART-D	chart_v1	36	4	0	0.041964	1	-1
ART-D	chart_v1	37	4	0	0.038601	1	-1
ART-D	chart_v1	38	4	0	0.032052	1	-1
ART-D	chart_v1	39	4	0	0.057335	1	-1
ART-D	chart_v1	40	4	0	0.028308	1	-1
ART-D	chart_v1	41	4	0	0.051537	1	-1
ART-D	chart_v1	42	4	0	0.075031	1	-1
ART-D	chart_v1	43	4	0	0.031323	1	-1
ART-D	chart_v1	44	4	0	0.059679	1	-1
ART-D	chart_v1	45	4	0	0.026681	1	-1
