Algorithm	Subject	Run	ReductionPercentage	PreparationTime	SelectionTime	FaultDetectionLoss	FirstFaultyTest
ART-D	chart_v1	1	1	0	0.31362	1	-1
ART-D	chart_v1	2	1	0	0.1549	1	-1
ART-D	chart_v1	3	1	0	0.198805	1	-1
ART-D	chart_v1	4	1	0	0.188398	1	-1
ART-D	chart_v1	5	1	0	0.149144	1	-1
ART-D	chart_v1	6	1	0	0.166156	1	-1
ART-D	chart_v1	7	1	0	0.168768	1	-1
ART-D	chart_v1	8	1	0	0.164635	1	-1
ART-D	chart_v1	9	1	0	0.237888	1	-1
ART-D	chart_v1	10	1	0	0.155745	1	-1
ART-D	chart_v1	11	1	0	0.153699	1	-1
ART-D	chart_v1	12	1	0	0.254317	1	-1
ART-D	chart_v1	13	1	0	0.208087	1	-1
ART-D	chart_v1	14	1	0	0.166389	1	-1
ART-D	chart_v1	15	1	0	0.217924	1	-1
ART-D	chart_v1	16	1	0	0.15591	1	-1
ART-D	chart_v1	17	1	0	0.159173	1	-1
ART-D	chart_v1	18	1	0	0.162018	1	-1
ART-D	chart_v1	19	1	0	0.17093	1	-1
ART-D	chart_v1	20	1	0	0.142295	1	-1
ART-D	chart_v1	21	1	0	0.190602	1	-1
ART-D	chart_v1	22	1	0	0.180149	1	-1
ART-D	chart_v1	23	1	0	0.20313	1	-1
ART-D	chart_v1	24	1	0	0.137498	1	-1
ART-D	chart_v1	25	1	0	0.190217	1	-1
ART-D	chart_v1	26	1	0	0.217095	1	-1
ART-D	chart_v1	27	1	0	0.179162	1	-1
ART-D	chart_v1	28	1	0	0.144381	1	-1
ART-D	chart_v1	29	1	0	0.253859	1	-1
ART-D	chart_v1	30	1	0	0.192833	1	-1
ART-D	chart_v1	31	1	0	0.233678	1	-1
ART-D	chart_v1	32	1	0	0.174077	1	-1
ART-D	chart_v1	33	1	0	0.145586	1	-1
ART-D	chart_v1	34	1	0	0.191367	1	-1
ART-D	chart_v1	35	1	0	0.166266	1	-1
