Algorithm	Subject	Run	ReductionPercentage	PreparationTime	SelectionTime	FaultDetectionLoss	FirstFaultyTest
ART-D	flex_v3	1	1	0	0.02487	0.5555555556	1
ART-D	flex_v3	2	1	0	0.01854	0.5555555556	3
ART-D	flex_v3	3	1	0	0.017766	0.8888888889	2
ART-D	flex_v3	4	1	0	0.017414	0.5555555556	1
ART-D	flex_v3	5	1	0	0.018019	0.4444444444	1
ART-D	flex_v3	6	1	0	0.017704	0.5555555556	2
ART-D	flex_v3	7	1	0	0.017809	1	-1
ART-D	flex_v3	8	1	0	0.017748	0.4444444444	1
ART-D	flex_v3	9	1	0	0.023979	0.4444444444	2
ART-D	flex_v3	10	1	0	0.022899	0.6666666667	5
ART-D	flex_v3	11	1	0	0.021818	0.7777777778	1
ART-D	flex_v3	12	1	0	0.022276	0.6666666667	2
ART-D	flex_v3	13	1	0	0.017927	0.4444444444	1
ART-D	flex_v3	14	1	0	0.018934	0.5555555556	1
ART-D	flex_v3	15	1	0	0.018555	0.8888888889	2
ART-D	flex_v3	16	1	0	0.017808	0.4444444444	1
ART-D	flex_v3	17	1	0	0.018029	0.4444444444	1
ART-D	flex_v3	18	1	0	0.025501	0.5555555556	2
ART-D	flex_v3	19	1	0	0.018131	0.4444444444	1
ART-D	flex_v3	20	1	0	0.018472	0.8888888889	1
ART-D	flex_v3	21	1	0	0.019401	0.8888888889	1
ART-D	flex_v3	22	1	0	0.0188	0.5555555556	1
ART-D	flex_v3	23	1	0	0.018129	0.5555555556	1
ART-D	flex_v3	24	1	0	0.018092	0.5555555556	2
ART-D	flex_v3	25	1	0	0.01792	0.7777777778	4
ART-D	flex_v3	26	1	0	0.018243	0.5555555556	1
ART-D	flex_v3	27	1	0	0.018949	0.8888888889	1
ART-D	flex_v3	28	1	0	0.025508	0.5555555556	1
ART-D	flex_v3	29	1	0	0.017995	0.5555555556	2
ART-D	flex_v3	30	1	0	0.017807	0.5555555556	2
ART-D	flex_v3	31	1	0	0.018342	0.5555555556	1
ART-D	flex_v3	32	1	0	0.018279	0.5555555556	1
ART-D	flex_v3	33	1	0	0.017996	0.7777777778	2
ART-D	flex_v3	34	1	0	0.018914	0.8888888889	1
ART-D	flex_v3	35	1	0	0.022981	0.8888888889	1
ART-D	flex_v3	36	1	0	0.025023	0.8888888889	1
ART-D	flex_v3	37	1	0	0.022914	0.3333333333	1
