Algorithm	Subject	Run	ReductionPercentage	PreparationTime	SelectionTime	FaultDetectionLoss	FirstFaultyTest
ART-D	flex_v3	1	1	0	0.398226	0.5555555556	1
ART-D	flex_v3	2	1	0	0.286375	0.4444444444	3
ART-D	flex_v3	3	1	0	0.296528	0.4444444444	1
ART-D	flex_v3	4	1	0	0.283566	0.3333333333	2
ART-D	flex_v3	5	1	0	0.268571	0.5555555556	1
ART-D	flex_v3	6	1	0	0.30317	0.4444444444	1
ART-D	flex_v3	7	1	0	0.269982	0.4444444444	1
ART-D	flex_v3	8	1	0	0.275294	0.7777777778	1
ART-D	flex_v3	9	1	0	0.285356	0.5555555556	5
ART-D	flex_v3	10	1	0	0.383588	0.5555555556	2
ART-D	flex_v3	11	1	0	0.303708	0.5555555556	2
ART-D	flex_v3	12	1	0	0.276761	0.5555555556	2
ART-D	flex_v3	13	1	0	0.276953	0.8888888889	1
ART-D	flex_v3	14	1	0	0.2659	0.8888888889	4
ART-D	flex_v3	15	1	0	0.321533	0.4444444444	3
ART-D	flex_v3	16	1	0	0.293441	0.4444444444	1
ART-D	flex_v3	17	1	0	0.289006	0.4444444444	1
ART-D	flex_v3	18	1	0	0.394858	0.5555555556	1
ART-D	flex_v3	19	1	0	0.281436	0.7777777778	1
ART-D	flex_v3	20	1	0	0.279648	0.5555555556	2
ART-D	flex_v3	21	1	0	0.278524	0.4444444444	1
ART-D	flex_v3	22	1	0	0.270109	0.4444444444	1
ART-D	flex_v3	23	1	0	0.282229	0.5555555556	1
ART-D	flex_v3	24	1	0	0.269121	0.5555555556	1
ART-D	flex_v3	25	1	0	0.30079	0.5555555556	1
ART-D	flex_v3	26	1	0	0.291879	0.4444444444	1
ART-D	flex_v3	27	1	0	0.283751	0.4444444444	1
ART-D	flex_v3	28	1	0	0.416296	0.5555555556	1
ART-D	flex_v3	29	1	0	0.269241	0.5555555556	1
ART-D	flex_v3	30	1	0	0.301858	0.5555555556	2
ART-D	flex_v3	31	1	0	0.298847	0.2222222222	1
ART-D	flex_v3	32	1	0	0.289742	0.4444444444	1
ART-D	flex_v3	33	1	0	0.275056	0.5555555556	1
ART-D	flex_v3	34	1	0	0.269333	0.5555555556	2
ART-D	flex_v3	35	1	0	0.289936	0.4444444444	2
ART-D	flex_v3	36	1	0	0.299956	0.5555555556	1
ART-D	flex_v3	37	1	0	0.296985	0.3333333333	3
ART-D	flex_v3	38	1	0	0.401839	0.8888888889	3
ART-D	flex_v3	39	1	0	0.276509	0.5555555556	2
ART-D	flex_v3	40	1	0	0.292023	0.5555555556	2
ART-D	flex_v3	41	1	0	0.295804	0.4444444444	1
ART-D	flex_v3	42	1	0	0.296229	0.8888888889	1
ART-D	flex_v3	43	1	0	0.280307	0.5555555556	1
ART-D	flex_v3	44	1	0	0.281018	0.5555555556	1
ART-D	flex_v3	45	1	0	0.269788	0.5555555556	1
ART-D	flex_v3	46	1	0	0.270752	0.5555555556	2
ART-D	flex_v3	47	1	0	0.283935	0.5555555556	2
ART-D	flex_v3	48	1	0	0.392328	0.5555555556	1
ART-D	flex_v3	49	1	0	0.283287	0.5555555556	1
ART-D	flex_v3	50	1	0	0.27505	0.5555555556	3
ART-D	flex_v3	1	2	0	0.519004	0.3333333333	3
ART-D	flex_v3	2	2	0	0.41186	0.2222222222	2
ART-D	flex_v3	3	2	0	0.395887	0.4444444444	2
ART-D	flex_v3	4	2	0	0.391335	0.3333333333	3
ART-D	flex_v3	5	2	0	0.369903	0.4444444444	1
ART-D	flex_v3	6	2	0	0.386621	0.4444444444	1
ART-D	flex_v3	7	2	0	0.359912	0.4444444444	1
ART-D	flex_v3	8	2	0	0.380523	0.4444444444	2
ART-D	flex_v3	9	2	0	0.501389	0.3333333333	2
ART-D	flex_v3	10	2	0	0.448	0.4444444444	1
ART-D	flex_v3	11	2	0	0.398619	0.4444444444	1
ART-D	flex_v3	12	2	0	0.384151	0.2222222222	2
ART-D	flex_v3	13	2	0	0.41962	0.4444444444	2
ART-D	flex_v3	14	2	0	0.391047	0.4444444444	3
ART-D	flex_v3	15	2	0	0.485752	0.7777777778	2
ART-D	flex_v3	16	2	0	0.458809	0.4444444444	1
ART-D	flex_v3	17	2	0	0.439027	0.3333333333	2
ART-D	flex_v3	18	2	0	0.399752	0.3333333333	2
ART-D	flex_v3	19	2	0	0.526416	0.4444444444	2
ART-D	flex_v3	20	2	0	0.355269	0.5555555556	2
ART-D	flex_v3	21	2	0	0.37693	0.5555555556	1
ART-D	flex_v3	22	2	0	0.416668	0.4444444444	3
ART-D	flex_v3	23	2	0	0.393045	0.2222222222	1
ART-D	flex_v3	24	2	0	0.461222	0.4444444444	1
ART-D	flex_v3	25	2	0	0.404048	0.7777777778	2
ART-D	flex_v3	26	2	0	0.433002	0.4444444444	2
ART-D	flex_v3	27	2	0	0.359557	0.4444444444	1
ART-D	flex_v3	28	2	0	0.37436	0.7777777778	1
ART-D	flex_v3	29	2	0	0.500311	0.4444444444	3
ART-D	flex_v3	30	2	0	0.500809	0.4444444444	4
ART-D	flex_v3	31	2	0	0.416798	0.4444444444	1
ART-D	flex_v3	32	2	0	0.392532	0.4444444444	1
ART-D	flex_v3	33	2	0	0.402146	0.3333333333	2
ART-D	flex_v3	34	2	0	0.40461	0.2222222222	3
ART-D	flex_v3	35	2	0	0.415226	0.5555555556	2
ART-D	flex_v3	36	2	0	0.375866	0.4444444444	2
ART-D	flex_v3	37	2	0	0.409224	0.4444444444	2
ART-D	flex_v3	38	2	0	0.521373	0.5555555556	1
ART-D	flex_v3	39	2	0	0.36328	0.4444444444	1
ART-D	flex_v3	40	2	0	0.355279	0.4444444444	1
ART-D	flex_v3	41	2	0	0.531159	0.5555555556	1
ART-D	flex_v3	42	2	0	0.460887	0.5555555556	1
ART-D	flex_v3	43	2	0	0.394908	0.5555555556	4
ART-D	flex_v3	44	2	0	0.421853	0.4444444444	2
ART-D	flex_v3	45	2	0	0.397373	0.4444444444	1
ART-D	flex_v3	46	2	0	0.409749	0.5555555556	1
ART-D	flex_v3	47	2	0	0.533696	0.3333333333	2
ART-D	flex_v3	48	2	0	0.397494	0.4444444444	2
ART-D	flex_v3	49	2	0	0.374542	0.5555555556	2
ART-D	flex_v3	50	2	0	0.399272	0.4444444444	2
ART-D	flex_v3	1	3	0	0.798059	0.4444444444	1
ART-D	flex_v3	2	3	0	0.634338	0.5555555556	2
ART-D	flex_v3	3	3	0	0.663698	0.4444444444	1
ART-D	flex_v3	4	3	0	0.66277	0.4444444444	1
ART-D	flex_v3	5	3	0	0.675838	0.4444444444	1
ART-D	flex_v3	6	3	0	0.625118	0.3333333333	1
ART-D	flex_v3	7	3	0	0.604954	0.5555555556	1
ART-D	flex_v3	8	3	0	0.653235	0.3333333333	1
ART-D	flex_v3	9	3	0	0.554061	0.4444444444	1
ART-D	flex_v3	10	3	0	0.802786	0.3333333333	1
ART-D	flex_v3	11	3	0	0.608417	0.2222222222	1
ART-D	flex_v3	12	3	0	0.637139	0.4444444444	2
ART-D	flex_v3	13	3	0	0.55269	0.3333333333	1
ART-D	flex_v3	14	3	0	0.561978	0.4444444444	4
ART-D	flex_v3	15	3	0	0.541934	0.3333333333	4
ART-D	flex_v3	16	3	0	0.666362	0.4444444444	1
ART-D	flex_v3	17	3	0	0.595115	0.3333333333	1
ART-D	flex_v3	18	3	0	0.665334	0.5555555556	1
ART-D	flex_v3	19	3	0	0.617978	0.4444444444	1
ART-D	flex_v3	20	3	0	0.848415	0.3333333333	1
ART-D	flex_v3	21	3	0	0.697067	0.4444444444	3
ART-D	flex_v3	22	3	0	0.620461	0.2222222222	3
ART-D	flex_v3	23	3	0	0.599973	0.2222222222	2
ART-D	flex_v3	24	3	0	0.899662	0.4444444444	1
ART-D	flex_v3	25	3	0	0.61217	0.4444444444	3
ART-D	flex_v3	26	3	0	0.677938	0.4444444444	1
ART-D	flex_v3	27	3	0	0.728424	0.3333333333	3
ART-D	flex_v3	28	3	0	0.737794	0.5555555556	6
ART-D	flex_v3	29	3	0	0.57464	0.5555555556	1
ART-D	flex_v3	30	3	0	0.567569	0.4444444444	3
ART-D	flex_v3	31	3	0	0.617352	0.3333333333	1
ART-D	flex_v3	32	3	0	0.631563	0.5555555556	1
ART-D	flex_v3	33	3	0	0.580205	0.3333333333	1
ART-D	flex_v3	34	3	0	0.634381	0.3333333333	1
ART-D	flex_v3	35	3	0	0.586825	0.4444444444	2
ART-D	flex_v3	36	3	0	0.625544	0.4444444444	1
ART-D	flex_v3	37	3	0	0.586744	0.3333333333	1
ART-D	flex_v3	38	3	0	0.776557	0.4444444444	4
ART-D	flex_v3	39	3	0	0.552025	0.4444444444	2
ART-D	flex_v3	40	3	0	0.672455	0.4444444444	1
ART-D	flex_v3	41	3	0	0.665535	0.4444444444	2
ART-D	flex_v3	42	3	0	0.672644	0.5555555556	2
ART-D	flex_v3	43	3	0	0.642622	0.1111111111	2
ART-D	flex_v3	44	3	0	0.552888	0.3333333333	1
ART-D	flex_v3	45	3	0	0.678452	0.3333333333	1
ART-D	flex_v3	46	3	0	0.677238	0.4444444444	1
ART-D	flex_v3	47	3	0	0.714951	0.1111111111	1
ART-D	flex_v3	48	3	0	0.646801	0.7777777778	2
ART-D	flex_v3	49	3	0	0.548484	0.5555555556	1
ART-D	flex_v3	50	3	0	0.700612	0.3333333333	2
ART-D	flex_v3	1	4	0	0.965885	0.3333333333	1
ART-D	flex_v3	2	4	0	0.745609	0.4444444444	2
ART-D	flex_v3	3	4	0	0.915598	0.1111111111	2
ART-D	flex_v3	4	4	0	0.77745	0.4444444444	1
ART-D	flex_v3	5	4	0	0.856922	0.4444444444	2
ART-D	flex_v3	6	4	0	0.921492	0.3333333333	2
ART-D	flex_v3	7	4	0	1.150245	0.3333333333	2
ART-D	flex_v3	8	4	0	0.983024	0.4444444444	4
ART-D	flex_v3	9	4	0	1.015381	0.2222222222	2
ART-D	flex_v3	10	4	0	1.05552	0.3333333333	1
ART-D	flex_v3	11	4	0	1.023048	0.4444444444	1
ART-D	flex_v3	12	4	0	0.843811	0.3333333333	1
ART-D	flex_v3	13	4	0	0.977383	0.4444444444	1
ART-D	flex_v3	14	4	0	0.880625	0.2222222222	1
ART-D	flex_v3	15	4	0	0.980539	0.4444444444	1
ART-D	flex_v3	16	4	0	0.907353	0.3333333333	2
ART-D	flex_v3	17	4	0	0.83431	0.4444444444	4
ART-D	flex_v3	18	4	0	0.83475	0.2222222222	1
ART-D	flex_v3	19	4	0	0.791603	0.4444444444	4
ART-D	flex_v3	20	4	0	0.803995	0.3333333333	1
ART-D	flex_v3	21	4	0	0.888062	0.4444444444	2
ART-D	flex_v3	22	4	0	0.916822	0.2222222222	1
ART-D	flex_v3	23	4	0	0.821259	0.2222222222	1
ART-D	flex_v3	24	4	0	0.871213	0.2222222222	2
ART-D	flex_v3	25	4	0	0.895563	0.3333333333	2
ART-D	flex_v3	26	4	0	0.784979	0.5555555556	3
ART-D	flex_v3	27	4	0	0.789263	0.2222222222	1
ART-D	flex_v3	28	4	0	1.184335	0.1111111111	1
ART-D	flex_v3	29	4	0	1.084613	0.1111111111	2
ART-D	flex_v3	30	4	0	0.804333	0.4444444444	1
ART-D	flex_v3	31	4	0	0.906722	0.4444444444	2
ART-D	flex_v3	32	4	0	0.919945	0.4444444444	1
ART-D	flex_v3	33	4	0	0.954747	0.2222222222	1
ART-D	flex_v3	34	4	0	0.709804	0.5555555556	1
ART-D	flex_v3	35	4	0	0.831339	0.3333333333	1
ART-D	flex_v3	36	4	0	0.864966	0.3333333333	2
ART-D	flex_v3	37	4	0	1.193854	0.4444444444	6
ART-D	flex_v3	38	4	0	1.222341	0.3333333333	2
ART-D	flex_v3	39	4	0	0.901904	0.2222222222	1
ART-D	flex_v3	40	4	0	0.874488	0.2222222222	2
ART-D	flex_v3	41	4	0	0.859408	0.1111111111	3
ART-D	flex_v3	42	4	0	1.128038	0.3333333333	1
ART-D	flex_v3	43	4	0	1.165964	0.4444444444	1
ART-D	flex_v3	44	4	0	0.792473	0.4444444444	3
ART-D	flex_v3	45	4	0	1.148589	0.4444444444	1
ART-D	flex_v3	46	4	0	1.008093	0.4444444444	1
ART-D	flex_v3	47	4	0	1.062964	0.1111111111	2
ART-D	flex_v3	48	4	0	0.95606	0.3333333333	1
ART-D	flex_v3	49	4	0	0.894241	0.4444444444	2
ART-D	flex_v3	50	4	0	0.955705	0.4444444444	1
ART-D	flex_v3	1	5	0	1.372266	0.4444444444	2
ART-D	flex_v3	2	5	0	1.221691	0.4444444444	2
ART-D	flex_v3	3	5	0	1.348067	0.4444444444	2
ART-D	flex_v3	4	5	0	1.222874	0.2222222222	1
ART-D	flex_v3	5	5	0	1.5717	0.4444444444	2
ART-D	flex_v3	6	5	0	1.302829	0.1111111111	1
ART-D	flex_v3	7	5	0	1.297487	0.3333333333	1
ART-D	flex_v3	8	5	0	1.267923	0.3333333333	2
ART-D	flex_v3	9	5	0	1.264742	0.5555555556	2
ART-D	flex_v3	10	5	0	1.143678	0.3333333333	1
ART-D	flex_v3	11	5	0	1.225897	0.5555555556	5
ART-D	flex_v3	12	5	0	1.18832	0.4444444444	1
ART-D	flex_v3	13	5	0	1.158308	0.5555555556	1
ART-D	flex_v3	14	5	0	1.264304	0.1111111111	1
ART-D	flex_v3	15	5	0	1.383091	0.1111111111	2
ART-D	flex_v3	16	5	0	1.263927	0.1111111111	2
ART-D	flex_v3	17	5	0	1.473955	0.3333333333	1
ART-D	flex_v3	18	5	0	1.296065	0	1
ART-D	flex_v3	19	5	0	1.121088	0.4444444444	1
ART-D	flex_v3	20	5	0	1.006159	0.3333333333	2
ART-D	flex_v3	21	5	0	1.130293	0.3333333333	1
ART-D	flex_v3	22	5	0	1.337597	0.2222222222	2
ART-D	flex_v3	23	5	0	1.214428	0.2222222222	1
ART-D	flex_v3	24	5	0	1.264024	0.2222222222	1
ART-D	flex_v3	25	5	0	1.431659	0.3333333333	1
ART-D	flex_v3	26	5	0	1.269901	0.4444444444	1
ART-D	flex_v3	27	5	0	1.28996	0.4444444444	3
ART-D	flex_v3	28	5	0	1.382493	0.4444444444	1
ART-D	flex_v3	29	5	0	1.685739	0.4444444444	3
ART-D	flex_v3	30	5	0	1.136192	0.3333333333	2
ART-D	flex_v3	31	5	0	1.330601	0.1111111111	1
ART-D	flex_v3	32	5	0	1.242604	0.3333333333	3
ART-D	flex_v3	33	5	0	1.255392	0.4444444444	1
