Algorithm	Subject	Run	PreparationTime	SelectionTime	FaultDetectionLoss	TestSuiteReduction	FirstFaultyTest
ART-D	chart_v1	1	0	10.243727	0	0	99
ART-D	chart_v1	2	0	10.321135	0	0	203
ART-D	chart_v1	3	0	11.316006	0	0	160
ART-D	chart_v1	4	0	11.504575	0	0.0028169014	225
ART-D	chart_v1	5	0	11.307747	0	0.0028169014	203
ART-D	chart_v1	6	0	10.681559	0	0.0028169014	227
ART-D	chart_v1	7	0	12.129122	0	0	327
ART-D	chart_v1	8	0	12.264367	0	0.0028169014	196
ART-D	chart_v1	9	0	14.285226	0	0	167
ART-D	chart_v1	10	0	9.857247	0	0	170
ART-D	chart_v1	11	0	10.583935	0	0.0084507042	126
ART-D	chart_v1	12	0	13.58451	0	0.0028169014	139
ART-D	chart_v1	13	0	10.716811	0	0.0056338028	120
ART-D	chart_v1	14	0	10.394993	0	0	288
ART-D	chart_v1	15	0	11.300384	0	0	227
ART-D	chart_v1	16	0	12.056126	0	0.0028169014	81
ART-D	chart_v1	17	0	13.078149	0	0	262
ART-D	chart_v1	18	0	11.669854	0	0	268
ART-D	chart_v1	19	0	10.970537	0	0	104
ART-D	chart_v1	20	0	12.221109	0	0	40
ART-D	chart_v1	21	0	14.470072	0	0	134
ART-D	chart_v1	22	0	12.788239	0	0	99
ART-D	chart_v1	23	0	11.94383	0	0	200
ART-D	chart_v1	24	0	10.467592	0	0.0084507042	12
ART-D	chart_v1	25	0	12.923953	0	0	91
ART-D	chart_v1	26	0	11.731525	0	0.0056338028	142
ART-D	chart_v1	27	0	12.595971	0	0	114
ART-D	chart_v1	28	0	10.916413	0	0.0028169014	132
ART-D	chart_v1	29	0	12.107044	0	0.0028169014	93
ART-D	chart_v1	30	0	12.139091	0	0	59
ART-D	chart_v1	31	0	11.350807	0	0.0028169014	248
ART-D	chart_v1	32	0	11.564549	0	0	287
ART-D	chart_v1	33	0	12.241453	0	0	197
ART-D	chart_v1	34	0	11.748646	0	0	145
ART-D	chart_v1	35	0	11.149582	0	0	165
ART-D	chart_v1	36	0	11.233687	0	0	316
ART-D	chart_v1	37	0	10.115031	0	0	298
ART-D	chart_v1	38	0	10.150669	0	0	19
ART-D	chart_v1	39	0	11.285421	0	0	258
ART-D	chart_v1	40	0	12.32586	0	0	350
ART-D	chart_v1	41	0	10.672237	0	0	137
ART-D	chart_v1	42	0	11.372638	0	0	345
ART-D	chart_v1	43	0	11.147694	0	0.0028169014	15
ART-D	chart_v1	44	0	11.145609	0	0.0028169014	351
ART-D	chart_v1	45	0	13.791246	0	0	10
ART-D	chart_v1	46	0	12.448893	0	0.0028169014	146
ART-D	chart_v1	47	0	11.558934	0	0	335
ART-D	chart_v1	48	0	11.049121	0	0	185
ART-D	chart_v1	49	0	15.933078	0	0	160
ART-D	chart_v1	50	0	12.013089	0	0	20
ART-D	closure_v1	1	0	25.517944	0	0	66
ART-D	closure_v1	2	0	27.622709	0	0	33
ART-D	closure_v1	3	0	23.38799	0	0	48
ART-D	closure_v1	4	0	28.062758	0	0.0046082949	18
ART-D	closure_v1	5	0	27.126307	0	0.0046082949	91
ART-D	closure_v1	6	0	30.208194	0	0.0046082949	116
ART-D	closure_v1	7	0	24.272156	0	0.0138248848	4
ART-D	closure_v1	8	0	27.444294	0	0.0046082949	29
ART-D	closure_v1	9	0	26.702405	0	0	18
ART-D	closure_v1	10	0	26.546264	0	0	8
ART-D	closure_v1	11	0	30.108807	0	0	38
