Algorithm	Subject	Run	ReductionPercentage	PreparationTime	SelectionTime	FaultDetectionLoss	FirstFaultyTest
ART-D	chart_v1	1	1	0	0.039083	1	-1
ART-D	chart_v1	2	1	0	0.054982	1	-1
ART-D	chart_v1	3	1	0	0.031146	1	-1
ART-D	chart_v1	4	1	0	0.038034	1	-1
ART-D	chart_v1	5	1	0	0.042156	1	-1
ART-D	chart_v1	6	1	0	0.043109	1	-1
ART-D	chart_v1	7	1	0	0.033053	1	-1
ART-D	chart_v1	8	1	0	0.03227	1	-1
ART-D	chart_v1	9	1	0	0.035111	1	-1
ART-D	chart_v1	10	1	0	0.044769	1	-1
ART-D	chart_v1	11	1	0	0.044069	1	-1
ART-D	chart_v1	12	1	0	0.054079	1	-1
ART-D	chart_v1	13	1	0	0.030501	1	-1
ART-D	chart_v1	14	1	0	0.051733	1	-1
ART-D	chart_v1	15	1	0	0.039952	1	-1
ART-D	chart_v1	16	1	0	0.036085	1	-1
ART-D	chart_v1	17	1	0	0.030405	1	-1
ART-D	chart_v1	18	1	0	0.031971	1	-1
ART-D	chart_v1	19	1	0	0.031273	1	-1
ART-D	chart_v1	20	1	0	0.035602	1	-1
ART-D	chart_v1	21	1	0	0.041828	1	-1
ART-D	chart_v1	22	1	0	0.033692	1	-1
ART-D	chart_v1	23	1	0	0.034874	1	-1
ART-D	chart_v1	24	1	0	0.034705	1	-1
ART-D	chart_v1	25	1	0	0.035847	1	-1
ART-D	chart_v1	26	1	0	0.03033	1	-1
ART-D	chart_v1	27	1	0	0.036756	1	-1
ART-D	chart_v1	28	1	0	0.042752	1	-1
ART-D	chart_v1	29	1	0	0.047333	1	-1
ART-D	chart_v1	30	1	0	0.033071	1	-1
ART-D	chart_v1	31	1	0	0.038681	1	-1
ART-D	chart_v1	32	1	0	0.036811	1	-1
ART-D	chart_v1	33	1	0	0.039225	1	-1
ART-D	chart_v1	34	1	0	0.03012	1	-1
ART-D	chart_v1	35	1	0	0.043427	0	1
ART-D	chart_v1	36	1	0	0.032625	1	-1
ART-D	chart_v1	37	1	0	0.054464	1	-1
ART-D	chart_v1	38	1	0	0.038495	1	-1
ART-D	chart_v1	39	1	0	0.032395	1	-1
ART-D	chart_v1	40	1	0	0.039654	1	-1
ART-D	chart_v1	41	1	0	0.034427	1	-1
ART-D	chart_v1	42	1	0	0.035646	1	-1
ART-D	chart_v1	43	1	0	0.038252	1	-1
ART-D	chart_v1	44	1	0	0.033905	1	-1
