Algorithm	Subject	Run	ReductionPercentage	PreparationTime	SelectionTime	FaultDetectionLoss	FirstFaultyTest
ART-D	flex_v3	1	1	0	0.172479	0.3333333333	1
ART-D	flex_v3	2	1	0	0.140265	0.3333333333	2
ART-D	flex_v3	3	1	0	0.13296	0.4444444444	1
ART-D	flex_v3	4	1	0	0.146669	0.5555555556	1
ART-D	flex_v3	5	1	0	0.151706	0.3333333333	1
ART-D	flex_v3	6	1	0	0.145235	0.5555555556	1
ART-D	flex_v3	7	1	0	0.132446	0.8888888889	1
ART-D	flex_v3	8	1	0	0.181512	0.8888888889	1
ART-D	flex_v3	9	1	0	0.133171	0.3333333333	1
ART-D	flex_v3	10	1	0	0.139642	0.5555555556	1
ART-D	flex_v3	11	1	0	0.131527	0.6666666667	1
ART-D	flex_v3	12	1	0	0.129684	0.7777777778	1
ART-D	flex_v3	13	1	0	0.145908	0.5555555556	3
ART-D	flex_v3	14	1	0	0.146969	0.4444444444	2
ART-D	flex_v3	15	1	0	0.137598	0.7777777778	2
ART-D	flex_v3	16	1	0	0.13313	0.5555555556	1
ART-D	flex_v3	17	1	0	0.132817	0.4444444444	1
ART-D	flex_v3	18	1	0	0.172045	0.5555555556	1
ART-D	flex_v3	19	1	0	0.14677	0.3333333333	1
ART-D	flex_v3	20	1	0	0.141846	0.4444444444	1
ART-D	flex_v3	21	1	0	0.128877	0.5555555556	1
ART-D	flex_v3	22	1	0	0.131582	0.7777777778	1
ART-D	flex_v3	23	1	0	0.137262	0.4444444444	2
ART-D	flex_v3	24	1	0	0.13767	0.5555555556	2
ART-D	flex_v3	25	1	0	0.131349	0.5555555556	1
ART-D	flex_v3	26	1	0	0.144538	0.5555555556	2
ART-D	flex_v3	27	1	0	0.145511	0.4444444444	2
ART-D	flex_v3	28	1	0	0.169311	0.7777777778	3
ART-D	flex_v3	29	1	0	0.134699	0.5555555556	1
ART-D	flex_v3	30	1	0	0.137689	0.5555555556	1
ART-D	flex_v3	31	1	0	0.133724	0.7777777778	2
ART-D	flex_v3	32	1	0	0.135487	0.5555555556	1
ART-D	flex_v3	33	1	0	0.139972	0.5555555556	3
ART-D	flex_v3	34	1	0	0.156868	0.5555555556	2
